,0,1,2,3
1,11851,Poland,2,27
2,11851,Poland,3,23
3,11851,Poland,4,20
4,11851,Türkiye,1,25
5,11851,Türkiye,2,25
6,11851,Türkiye,3,25
7,11851,Türkiye,4,25
0,11852,Brazil,1,17
1,11852,Brazil,2,19
2,11852,Brazil,3,25
3,11852,Brazil,4,22
4,11852,USA,1,25
5,11852,USA,2,25
6,11852,USA,3,23
7,11852,USA,4,25
0,11853,Serbia,1,25
1,11853,Serbia,2,23
2,11853,Serbia,3,26
3,11853,Serbia,4,25
4,11853,Italy,1,18
5,11853,Italy,2,25
6,11853,Italy,3,24
7,11853,Italy,4,20
0,11854,Thailand,1,20
1,11854,Thailand,2,9
2,11854,Thailand,3,18
3,11854,Netherlands,1,25
4,11854,Netherlands,2,25
5,11854,Netherlands,3,25
0,11855,Belgium,1,31
1,11855,Belgium,2,19
2,11855,Belgium,3,25
3,11855,Belgium,4,25
4,11855,Belgium,5,15
5,11855,Dominican Republic,1,33
6,11855,Dominican Republic,2,25
7,11855,Dominican Republic,3,20
8,11855,Dominican Republic,4,16
9,11855,Dominican Republic,5,11
0,11856,China,1,20
1,11856,China,2,19
2,11856,China,3,27
3,11856,China,4,25
4,11856,China,5,15
5,11856,Germany,1,25
6,11856,Germany,2,25
7,11856,Germany,3,25
8,11856,Germany,4,21
9,11856,Germany,5,9
0,11857,Brazil,1,25
1,11857,Brazil,2,25
2,11857,Brazil,3,25
3,11857,Japan,1,15
4,11857,Japan,2,19
5,11857,Japan,3,21
0,11858,Canada,1,23
1,11858,Canada,2,25
2,11858,Canada,3,25
3,11858,Canada,4,23
4,11858,Canada,5,12
5,11858,Türkiye,1,25
6,11858,Türkiye,2,19
7,11858,Türkiye,3,22
8,11858,Türkiye,4,25
9,11858,Türkiye,5,15
0,11859,Korea,1,15
1,11859,Korea,2,20
2,11859,Korea,3,22
3,11859,Poland,1,25
4,11859,Poland,2,25
5,11859,Poland,3,25
0,11860,Serbia,1,20
1,11860,Serbia,2,16
2,11860,Serbia,3,12
3,11860,USA,1,25
4,11860,USA,2,25
5,11860,USA,3,25
0,11861,Russia,1,26
1,11861,Russia,2,25
2,11861,Russia,3,27
3,11861,Italy,1,24
4,11861,Italy,2,23
5,11861,Italy,3,25
0,11862,Türkiye,1,25
1,11862,Türkiye,2,25
2,11862,Türkiye,3,25
3,11862,Germany,1,20
4,11862,Germany,2,20
5,11862,Germany,3,22
0,11863,Dominican Republic,1,25
1,11863,Dominican Republic,2,28
2,11863,Dominican Republic,3,25
3,11863,Korea,1,23
4,11863,Korea,2,26
5,11863,Korea,3,18
0,11864,Belgium,1,25
1,11864,Belgium,2,17
2,11864,Belgium,3,25
3,11864,Belgium,4,22
4,11864,Belgium,5,15
5,11864,Poland,1,15
6,11864,Poland,2,25
7,11864,Poland,3,19
8,11864,Poland,4,25
9,11864,Poland,5,12
0,11865,Serbia,1,25
1,11865,Serbia,2,25
2,11865,Serbia,3,25
3,11865,Thailand,1,19
4,11865,Thailand,2,23
5,11865,Thailand,3,23
0,11866,China,1,22
1,11866,China,2,25
2,11866,China,3,17
3,11866,China,4,25
4,11866,China,5,12
5,11866,Canada,1,25
6,11866,Canada,2,21
7,11866,Canada,3,25
8,11866,Canada,4,15
9,11866,Canada,5,15
0,11867,USA,1,25
1,11867,USA,2,25
2,11867,USA,3,25
3,11867,Netherlands,1,22
4,11867,Netherlands,2,15
5,11867,Netherlands,3,18
0,11868,Italy,1,25
1,11868,Italy,2,19
2,11868,Italy,3,25
3,11868,Italy,4,25
4,11868,Italy,5,13
5,11868,Japan,1,27
6,11868,Japan,2,25
7,11868,Japan,3,16
8,11868,Japan,4,21
9,11868,Japan,5,15
0,11869,Brazil,1,25
1,11869,Brazil,2,25
2,11869,Brazil,3,25
3,11869,Russia,1,20
4,11869,Russia,2,11
5,11869,Russia,3,18
0,11870,Belgium,1,23
1,11870,Belgium,2,25
2,11870,Belgium,3,25
3,11870,Belgium,4,19
4,11870,Belgium,5,15
5,11870,Korea,1,25
6,11870,Korea,2,23
7,11870,Korea,3,16
8,11870,Korea,4,25
9,11870,Korea,5,12
0,11871,Thailand,1,17
1,11871,Thailand,2,14
2,11871,Thailand,3,16
3,11871,USA,1,25
4,11871,USA,2,25
5,11871,USA,3,25
0,11872,Germany,1,28
1,11872,Germany,2,25
2,11872,Germany,3,14
3,11872,Canada,1,30
4,11872,Canada,2,27
5,11872,Canada,3,25
0,11873,Japan,1,25
1,11873,Japan,2,25
2,11873,Japan,3,25
3,11873,Russia,1,20
4,11873,Russia,2,21
5,11873,Russia,3,21
0,11874,China,1,15
1,11874,China,2,23
2,11874,China,3,21
3,11874,Türkiye,1,25
4,11874,Türkiye,2,25
5,11874,Türkiye,3,25
0,11875,Poland,1,25
1,11875,Poland,2,22
2,11875,Poland,3,26
3,11875,Poland,4,21
4,11875,Dominican Republic,1,22
5,11875,Dominican Republic,2,25
6,11875,Dominican Republic,3,28
7,11875,Dominican Republic,4,25
0,11876,Netherlands,1,25
1,11876,Netherlands,2,25
2,11876,Netherlands,3,18
3,11876,Netherlands,4,25
4,11876,Serbia,1,22
5,11876,Serbia,2,16
6,11876,Serbia,3,25
7,11876,Serbia,4,21
0,11877,Brazil,1,19
1,11877,Brazil,2,25
2,11877,Brazil,3,25
3,11877,Brazil,4,25
4,11877,Italy,1,25
5,11877,Italy,2,15
6,11877,Italy,3,19
7,11877,Italy,4,19
0,11878,China,1,25
1,11878,China,2,25
2,11878,China,3,25
3,11878,China,4,21
4,11878,China,5,8
5,11878,Belgium,1,17
6,11878,Belgium,2,27
7,11878,Belgium,3,23
8,11878,Belgium,4,25
9,11878,Belgium,5,15
0,11879,Japan,1,22
1,11879,Japan,2,20
2,11879,Japan,3,23
3,11879,Netherlands,1,25
4,11879,Netherlands,2,25
5,11879,Netherlands,3,25
0,11880,Türkiye,1,23
1,11880,Türkiye,2,25
2,11880,Türkiye,3,25
3,11880,Türkiye,4,25
4,11880,Thailand,1,25
5,11880,Thailand,2,12
6,11880,Thailand,3,20
7,11880,Thailand,4,9
0,11881,Dominican Republic,1,18
1,11881,Dominican Republic,2,25
2,11881,Dominican Republic,3,20
3,11881,Dominican Republic,4,25
4,11881,Dominican Republic,5,8
5,11881,Russia,1,25
6,11881,Russia,2,21
7,11881,Russia,3,25
8,11881,Russia,4,22
9,11881,Russia,5,15
0,11882,Brazil,1,25
1,11882,Brazil,2,25
2,11882,Brazil,3,25
3,11882,Serbia,1,12
4,11882,Serbia,2,14
5,11882,Serbia,3,13
0,11883,Canada,1,25
1,11883,Canada,2,25
2,11883,Canada,3,21
3,11883,Canada,4,17
4,11883,Canada,5,7
5,11883,Poland,1,22
6,11883,Poland,2,21
7,11883,Poland,3,25
8,11883,Poland,4,25
9,11883,Poland,5,15
0,11884,Italy,1,27
1,11884,Italy,2,23
2,11884,Italy,3,25
3,11884,Italy,4,25
4,11884,Korea,1,25
5,11884,Korea,2,25
6,11884,Korea,3,22
7,11884,Korea,4,20
0,11885,Germany,1,23
1,11885,Germany,2,13
2,11885,Germany,3,13
3,11885,USA,1,25
4,11885,USA,2,25
5,11885,USA,3,25
0,11886,Russia,1,25
1,11886,Russia,2,18
2,11886,Russia,3,25
3,11886,Russia,4,25
4,11886,Thailand,1,14
5,11886,Thailand,2,25
6,11886,Thailand,3,14
7,11886,Thailand,4,20
0,11887,Türkiye,1,22
1,11887,Türkiye,2,21
2,11887,Türkiye,3,25
3,11887,Türkiye,4,17
4,11887,Dominican Republic,1,25
5,11887,Dominican Republic,2,25
6,11887,Dominican Republic,3,23
7,11887,Dominican Republic,4,25
0,11888,Canada,1,16
1,11888,Canada,2,15
2,11888,Canada,3,15
3,11888,Japan,1,25
4,11888,Japan,2,25
5,11888,Japan,3,25
0,11889,China,1,22
1,11889,China,2,18
2,11889,China,3,25
3,11889,China,4,22
4,11889,Serbia,1,25
5,11889,Serbia,2,25
6,11889,Serbia,3,19
7,11889,Serbia,4,25
0,11890,Korea,1,16
1,11890,Korea,2,12
2,11890,Korea,3,15
3,11890,USA,1,25
4,11890,USA,2,25
5,11890,USA,3,25
0,11891,Poland,1,25
1,11891,Poland,2,23
2,11891,Poland,3,25
3,11891,Poland,4,21
4,11891,Poland,5,9
5,11891,Netherlands,1,21
6,11891,Netherlands,2,25
7,11891,Netherlands,3,22
8,11891,Netherlands,4,25
9,11891,Netherlands,5,15
0,11892,Germany,1,21
1,11892,Germany,2,19
2,11892,Germany,3,11
3,11892,Italy,1,25
4,11892,Italy,2,25
5,11892,Italy,3,25
0,11893,Belgium,1,18
1,11893,Belgium,2,16
2,11893,Belgium,3,17
3,11893,Brazil,1,25
4,11893,Brazil,2,25
5,11893,Brazil,3,25
0,11894,Thailand,1,16
1,11894,Thailand,2,17
2,11894,Thailand,3,23
3,11894,Dominican Republic,1,25
4,11894,Dominican Republic,2,25
5,11894,Dominican Republic,3,25
0,11895,Türkiye,1,25
1,11895,Türkiye,2,22
2,11895,Türkiye,3,25
3,11895,Türkiye,4,18
4,11895,Türkiye,5,15
5,11895,Russia,1,22
6,11895,Russia,2,25
7,11895,Russia,3,18
8,11895,Russia,4,25
9,11895,Russia,5,7
0,11896,Canada,1,19
1,11896,Canada,2,12
2,11896,Canada,3,21
3,11896,Netherlands,1,25
4,11896,Netherlands,2,25
5,11896,Netherlands,3,25
0,11897,Japan,1,22
1,11897,Japan,2,22
2,11897,Japan,3,25
3,11897,Japan,4,25
4,11897,Japan,5,16
5,11897,Poland,1,25
6,11897,Poland,2,25
7,11897,Poland,3,22
8,11897,Poland,4,23
9,11897,Poland,5,14
0,11898,China,1,18
1,11898,China,2,25
2,11898,China,3,25
3,11898,China,4,14
4,11898,China,5,15
5,11898,Brazil,1,25
6,11898,Brazil,2,22
7,11898,Brazil,3,20
8,11898,Brazil,4,25
9,11898,Brazil,5,12
0,11899,Germany,1,25
1,11899,Germany,2,25
2,11899,Germany,3,25
3,11899,Korea,1,12
4,11899,Korea,2,21
5,11899,Korea,3,22
0,11900,Belgium,1,23
1,11900,Belgium,2,26
2,11900,Belgium,3,25
3,11900,Belgium,4,23
4,11900,Belgium,5,15
5,11900,Serbia,1,25
6,11900,Serbia,2,24
7,11900,Serbia,3,21
8,11900,Serbia,4,25
9,11900,Serbia,5,10
0,11901,Italy,1,18
1,11901,Italy,2,21
2,11901,Italy,3,25
3,11901,Italy,4,16
4,11901,USA,1,25
5,11901,USA,2,25
6,11901,USA,3,20
7,11901,USA,4,25
0,11902,Russia,1,25
1,11902,Russia,2,25
2,11902,Russia,3,25
3,11902,Korea,1,23
4,11902,Korea,2,17
5,11902,Korea,3,17
0,11903,Thailand,1,24
1,11903,Thailand,2,25
2,11903,Thailand,3,25
3,11903,Thailand,4,25
4,11903,Germany,1,26
5,11903,Germany,2,21
6,11903,Germany,3,21
7,11903,Germany,4,16
0,11904,Japan,1,25
1,11904,Japan,2,25
2,11904,Japan,3,17
3,11904,Japan,4,25
4,11904,Türkiye,1,17
5,11904,Türkiye,2,20
6,11904,Türkiye,3,25
7,11904,Türkiye,4,19
0,11905,USA,1,25
1,11905,USA,2,26
2,11905,USA,3,25
3,11905,Belgium,1,9
4,11905,Belgium,2,24
5,11905,Belgium,3,20
0,11906,China,1,25
1,11906,China,2,25
2,11906,China,3,33
3,11906,Netherlands,1,12
4,11906,Netherlands,2,18
5,11906,Netherlands,3,31
0,11907,Canada,1,25
1,11907,Canada,2,22
2,11907,Canada,3,25
3,11907,Canada,4,25
4,11907,Serbia,1,21
5,11907,Serbia,2,25
6,11907,Serbia,3,21
7,11907,Serbia,4,18
0,11908,Dominican Republic,1,25
1,11908,Dominican Republic,2,25
2,11908,Dominican Republic,3,22
3,11908,Dominican Republic,4,26
4,11908,Italy,1,21
5,11908,Italy,2,19
6,11908,Italy,3,25
7,11908,Italy,4,24
0,11909,Poland,1,22
1,11909,Poland,2,20
2,11909,Poland,3,23
3,11909,Brazil,1,25
4,11909,Brazil,2,25
5,11909,Brazil,3,25
0,11910,Türkiye,1,25
1,11910,Türkiye,2,25
2,11910,Türkiye,3,25
3,11910,Belgium,1,20
4,11910,Belgium,2,17
5,11910,Belgium,3,19
0,11911,USA,1,25
1,11911,USA,2,26
2,11911,USA,3,25
3,11911,Japan,1,23
4,11911,Japan,2,24
5,11911,Japan,3,20
0,11912,Italy,1,21
1,11912,Italy,2,28
2,11912,Italy,3,25
3,11912,Italy,4,21
4,11912,Italy,5,10
5,11912,Netherlands,1,25
6,11912,Netherlands,2,26
7,11912,Netherlands,3,20
8,11912,Netherlands,4,25
9,11912,Netherlands,5,15
0,11913,Dominican Republic,1,14
1,11913,Dominican Republic,2,20
2,11913,Dominican Republic,3,25
3,11913,Dominican Republic,4,22
4,11913,China,1,25
5,11913,China,2,25
6,11913,China,3,19
7,11913,China,4,25
0,11914,Russia,1,25
1,11914,Russia,2,25
2,11914,Russia,3,25
3,11914,Canada,1,15
4,11914,Canada,2,12
5,11914,Canada,3,14
0,11915,Korea,1,25
1,11915,Korea,2,23
2,11915,Korea,3,25
3,11915,Korea,4,25
4,11915,Serbia,1,13
5,11915,Serbia,2,25
6,11915,Serbia,3,13
7,11915,Serbia,4,23
0,11916,Thailand,1,23
1,11916,Thailand,2,15
2,11916,Thailand,3,20
3,11916,Poland,1,25
4,11916,Poland,2,25
5,11916,Poland,3,25
0,11917,Germany,1,25
1,11917,Germany,2,17
2,11917,Germany,3,21
3,11917,Germany,4,22
4,11917,Brazil,1,22
5,11917,Brazil,2,25
6,11917,Brazil,3,25
7,11917,Brazil,4,25
0,11918,Belgium,1,25
1,11918,Belgium,2,22
2,11918,Belgium,3,21
3,11918,Belgium,4,21
4,11918,Japan,1,23
5,11918,Japan,2,25
6,11918,Japan,3,25
7,11918,Japan,4,25
0,11919,Russia,1,25
1,11919,Russia,2,25
2,11919,Russia,3,25
3,11919,Serbia,1,8
4,11919,Serbia,2,17
5,11919,Serbia,3,23
0,11920,Netherlands,1,23
1,11920,Netherlands,2,25
2,11920,Netherlands,3,28
3,11920,Netherlands,4,22
4,11920,Dominican Republic,1,25
5,11920,Dominican Republic,2,23
6,11920,Dominican Republic,3,30
7,11920,Dominican Republic,4,25
0,11921,Germany,1,25
1,11921,Germany,2,25
2,11921,Germany,3,25
3,11921,Poland,1,23
4,11921,Poland,2,20
5,11921,Poland,3,23
0,11922,China,1,25
1,11922,China,2,25
2,11922,China,3,25
3,11922,Italy,1,19
4,11922,Italy,2,11
5,11922,Italy,3,19
0,11923,Korea,1,15
1,11923,Korea,2,25
2,11923,Korea,3,27
3,11923,Korea,4,25
4,11923,Korea,5,21
5,11923,Canada,1,25
6,11923,Canada,2,18
7,11923,Canada,3,29
8,11923,Canada,4,20
9,11923,Canada,5,19
0,11924,Brazil,1,25
1,11924,Brazil,2,25
2,11924,Brazil,3,25
3,11924,Thailand,1,11
4,11924,Thailand,2,14
5,11924,Thailand,3,10
0,11925,USA,1,25
1,11925,USA,2,23
2,11925,USA,3,25
3,11925,USA,4,25
4,11925,Türkiye,1,21
5,11925,Türkiye,2,25
6,11925,Türkiye,3,15
7,11925,Türkiye,4,14
0,11926,Germany,1,25
1,11926,Germany,2,25
2,11926,Germany,3,25
3,11926,Serbia,1,23
4,11926,Serbia,2,16
5,11926,Serbia,3,21
0,11927,Japan,1,18
1,11927,Japan,2,24
2,11927,Japan,3,25
3,11927,Japan,4,25
4,11927,Japan,5,15
5,11927,Dominican Republic,1,25
6,11927,Dominican Republic,2,26
7,11927,Dominican Republic,3,22
8,11927,Dominican Republic,4,15
9,11927,Dominican Republic,5,11
0,11928,Thailand,1,23
1,11928,Thailand,2,24
2,11928,Thailand,3,25
3,11928,Thailand,4,15
4,11928,Belgium,1,25
5,11928,Belgium,2,26
6,11928,Belgium,3,23
7,11928,Belgium,4,25
0,11929,Korea,1,18
1,11929,Korea,2,23
2,11929,Korea,3,18
3,11929,Brazil,1,25
4,11929,Brazil,2,25
5,11929,Brazil,3,25
0,11930,China,1,25
1,11930,China,2,25
2,11930,China,3,25
3,11930,Russia,1,18
4,11930,Russia,2,23
5,11930,Russia,3,16
0,11931,Poland,1,27
1,11931,Poland,2,27
2,11931,Poland,3,14
3,11931,USA,1,29
4,11931,USA,2,29
5,11931,USA,3,25
0,11932,Canada,1,18
1,11932,Canada,2,20
2,11932,Canada,3,20
3,11932,Italy,1,25
4,11932,Italy,2,25
5,11932,Italy,3,25
0,11933,Türkiye,1,27
1,11933,Türkiye,2,25
2,11933,Türkiye,3,25
3,11933,Netherlands,1,25
4,11933,Netherlands,2,20
5,11933,Netherlands,3,20
0,11934,Dominican Republic,1,25
1,11934,Dominican Republic,2,25
2,11934,Dominican Republic,3,25
3,11934,Serbia,1,14
4,11934,Serbia,2,20
5,11934,Serbia,3,18
0,11935,USA,1,25
1,11935,USA,2,25
2,11935,USA,3,25
3,11935,USA,4,25
4,11935,Russia,1,21
5,11935,Russia,2,27
6,11935,Russia,3,23
7,11935,Russia,4,15
0,11936,Japan,1,25
1,11936,Japan,2,19
2,11936,Japan,3,26
3,11936,Japan,4,25
4,11936,Germany,1,23
5,11936,Germany,2,25
6,11936,Germany,3,24
7,11936,Germany,4,15
0,11937,Thailand,1,25
1,11937,Thailand,2,25
2,11937,Thailand,3,25
3,11937,Canada,1,16
4,11937,Canada,2,17
5,11937,Canada,3,17
0,11938,China,1,26
1,11938,China,2,25
2,11938,China,3,25
3,11938,Poland,1,24
4,11938,Poland,2,22
5,11938,Poland,3,16
0,11939,Korea,1,23
1,11939,Korea,2,25
2,11939,Korea,3,17
3,11939,Korea,4,18
4,11939,Türkiye,1,25
5,11939,Türkiye,2,20
6,11939,Türkiye,3,25
7,11939,Türkiye,4,25
0,11940,Brazil,1,25
1,11940,Brazil,2,25
2,11940,Brazil,3,25
3,11940,Netherlands,1,19
4,11940,Netherlands,2,19
5,11940,Netherlands,3,20
0,11941,Belgium,1,25
1,11941,Belgium,2,20
2,11941,Belgium,3,22
3,11941,Belgium,4,25
4,11941,Belgium,5,15
5,11941,Italy,1,17
6,11941,Italy,2,25
7,11941,Italy,3,25
8,11941,Italy,4,17
9,11941,Italy,5,10
0,11942,Dominican Republic,1,25
1,11942,Dominican Republic,2,25
2,11942,Dominican Republic,3,14
3,11942,Dominican Republic,4,25
4,11942,Dominican Republic,5,15
5,11942,Germany,1,21
6,11942,Germany,2,22
7,11942,Germany,3,25
8,11942,Germany,4,27
9,11942,Germany,5,9
0,11943,China,1,25
1,11943,China,2,25
2,11943,China,3,25
3,11943,USA,1,10
4,11943,USA,2,20
5,11943,USA,3,17
0,11944,Thailand,1,35
1,11944,Thailand,2,21
2,11944,Thailand,3,25
3,11944,Thailand,4,20
4,11944,Italy,1,33
5,11944,Italy,2,25
6,11944,Italy,3,27
7,11944,Italy,4,25
0,11945,Japan,1,25
1,11945,Japan,2,25
2,11945,Japan,3,25
3,11945,Serbia,1,12
4,11945,Serbia,2,22
5,11945,Serbia,3,15
0,11946,Russia,1,17
1,11946,Russia,2,25
2,11946,Russia,3,16
3,11946,Russia,4,25
4,11946,Russia,5,7
5,11946,Poland,1,25
6,11946,Poland,2,20
7,11946,Poland,3,25
8,11946,Poland,4,22
9,11946,Poland,5,15
0,11947,Korea,1,20
1,11947,Korea,2,25
2,11947,Korea,3,18
3,11947,Korea,4,25
4,11947,Korea,5,12
5,11947,Netherlands,1,25
6,11947,Netherlands,2,23
7,11947,Netherlands,3,25
8,11947,Netherlands,4,22
9,11947,Netherlands,5,15
0,11948,Belgium,1,26
1,11948,Belgium,2,25
2,11948,Belgium,3,25
3,11948,Canada,1,24
4,11948,Canada,2,17
5,11948,Canada,3,17
0,11949,Brazil,1,25
1,11949,Brazil,2,25
2,11949,Brazil,3,25
3,11949,Brazil,4,25
4,11949,Türkiye,1,18
5,11949,Türkiye,2,16
6,11949,Türkiye,3,27
7,11949,Türkiye,4,15
0,11950,Brazil,1,25
1,11950,Brazil,2,25
2,11950,Brazil,3,29
3,11950,Brazil,4,25
4,11950,Japan,1,15
5,11950,Japan,2,23
6,11950,Japan,3,31
7,11950,Japan,4,16
0,11951,USA,1,25
1,11951,USA,2,25
2,11951,USA,3,25
3,11951,Türkiye,1,21
4,11951,Türkiye,2,23
5,11951,Türkiye,3,20
0,11952,Japan,1,19
1,11952,Japan,2,16
2,11952,Japan,3,17
3,11952,Türkiye,1,25
4,11952,Türkiye,2,25
5,11952,Türkiye,3,25
0,11953,Brazil,1,28
1,11953,Brazil,2,23
2,11953,Brazil,3,23
3,11953,Brazil,4,21
4,11953,USA,1,26
5,11953,USA,2,25
6,11953,USA,3,25
7,11953,USA,4,25
0,13754,Germany,1,27
1,13754,Germany,2,25
2,13754,Germany,3,25
3,13754,Germany,4,21
4,13754,Brazil,1,29
5,13754,Brazil,2,23
6,13754,Brazil,3,27
7,13754,Brazil,4,25
0,13755,USA,1,25
1,13755,USA,2,25
2,13755,USA,3,25
3,13755,Dominican Republic,1,21
4,13755,Dominican Republic,2,17
5,13755,Dominican Republic,3,18
0,13756,Thailand,1,25
1,13756,Thailand,2,25
2,13756,Thailand,3,25
3,13756,Bulgaria,1,20
4,13756,Bulgaria,2,22
5,13756,Bulgaria,3,20
0,13757,Türkiye,1,25
1,13757,Türkiye,2,25
2,13757,Türkiye,3,25
3,13757,Italy,1,20
4,13757,Italy,2,19
5,13757,Italy,3,19
0,13758,Poland,1,20
1,13758,Poland,2,25
2,13758,Poland,3,25
3,13758,Poland,4,25
4,13758,Canada,1,25
5,13758,Canada,2,22
6,13758,Canada,3,23
7,13758,Canada,4,20
0,13759,Korea,1,17
1,13759,Korea,2,16
2,13759,Korea,3,11
3,13759,Japan,1,25
4,13759,Japan,2,25
5,13759,Japan,3,25
0,13760,Belgium,1,25
1,13760,Belgium,2,16
2,13760,Belgium,3,17
3,13760,Belgium,4,22
4,13760,Serbia,1,14
5,13760,Serbia,2,25
6,13760,Serbia,3,25
7,13760,Serbia,4,25
0,13761,China,1,16
1,13761,China,2,25
2,13761,China,3,25
3,13761,China,4,25
4,13761,Netherlands,1,25
5,13761,Netherlands,2,22
6,13761,Netherlands,3,23
7,13761,Netherlands,4,23
0,13762,Brazil,1,25
1,13762,Brazil,2,25
2,13762,Brazil,3,25
3,13762,Poland,1,23
4,13762,Poland,2,21
5,13762,Poland,3,22
0,13763,Germany,1,27
1,13763,Germany,2,25
2,13763,Germany,3,20
3,13763,Germany,4,22
4,13763,Germany,5,12
5,13763,Japan,1,25
6,13763,Japan,2,23
7,13763,Japan,3,25
8,13763,Japan,4,25
9,13763,Japan,5,15
0,13764,Canada,1,25
1,13764,Canada,2,25
2,13764,Canada,3,25
3,13764,Dominican Republic,1,18
4,13764,Dominican Republic,2,15
5,13764,Dominican Republic,3,18
0,13765,Thailand,1,25
1,13765,Thailand,2,25
2,13765,Thailand,3,25
3,13765,Thailand,4,20
4,13765,Thailand,5,15
5,13765,Serbia,1,23
6,13765,Serbia,2,27
7,13765,Serbia,3,20
8,13765,Serbia,4,25
9,13765,Serbia,5,12
0,13766,Bulgaria,1,25
1,13766,Bulgaria,2,12
2,13766,Bulgaria,3,19
3,13766,Bulgaria,4,25
4,13766,Bulgaria,5,15
5,13766,Netherlands,1,15
6,13766,Netherlands,2,25
7,13766,Netherlands,3,25
8,13766,Netherlands,4,15
9,13766,Netherlands,5,7
0,13767,Belgium,1,25
1,13767,Belgium,2,19
2,13767,Belgium,3,23
3,13767,Belgium,4,20
4,13767,Italy,1,21
5,13767,Italy,2,25
6,13767,Italy,3,25
7,13767,Italy,4,25
0,13768,Germany,1,25
